历史趋势开始于2021年8月26日19时40分0秒,时间为1小时20分钟,,,,,,,,,,,,,,,,,,,,,,,
,DOMAIN007:CGB2C8AO,遥控设定,,DOMAIN007:DEHGV1Z1,GV1阀位,,DOMAIN007:DEHGV2Z1,GV2阀位,,DOMAIN007:DEHGV3Z1,GV3阀位,,DOMAIN007:DEHGV4Z1,GV4阀位,,DOMAIN007:DEHGV5Z1,GV5阀位,,DOMAIN007:DEHGV6Z1,GV6阀位,,DOMAIN007:CGB2YG,有功功率,
序号,时间,值,状态,时间,值,状态,时间,值,状态,时间,值,状态,时间,值,状态,时间,值,状态,时间,值,状态,时间,值,状态
No000,19:40:00,293.782288,0x0008,19:40:00,27,0x4000,19:40:00,1.2,0x4000,19:40:00,99.700005,0x4000,19:40:00,99.599998,0x4000,19:40:00,99.599998,0x4000,19:40:00,99.800003,0x4000,19:40:00,302.539673,0x0000
No001,19:40:08,293.782288,0x0008,19:40:08,27,0x4000,19:40:08,1.2,0x4000,19:40:08,99.700005,0x4000,19:40:08,99.599998,0x4000,19:40:08,99.599998,0x4000,19:40:08,99.800003,0x4000,19:40:08,302.698395,0x0000
No002,19:40:16,293.782288,0x0008,19:40:16,27,0x4000,19:40:16,1.2,0x4000,19:40:16,99.700005,0x4000,19:40:16,99.599998,0x4000,19:40:16,99.599998,0x4000,19:40:16,99.800003,0x4000,19:40:16,302.222198,0x0000
No003,19:40:24,293.782288,0x0008,19:40:24,27,0x4000,19:40:24,1.2,0x4000,19:40:24,99.700005,0x4000,19:40:24,99.599998,0x4000,19:40:24,99.599998,0x4000,19:40:24,99.800003,0x4000,19:40:24,302.222198,0x0000
No004,19:40:32,293.782288,0x0008,19:40:32,27,0x4000,19:40:32,1.2,0x4000,19:40:32,99.700005,0x4000,19:40:32,99.599998,0x4000,19:40:32,99.599998,0x4000,19:40:32,99.800003,0x4000,19:40:32,302.698395,0x0000
No005,19:40:40,293.782288,0x0008,19:40:40,26.700001,0x4000,19:40:40,1.2,0x4000,19:40:40,99.700005,0x4000,19:40:40,99.599998,0x4000,19:40:40,99.599998,0x4000,19:40:40,99.800003,0x4000,19:40:40,303.015869,0x0000
