iter,res_pri,res_dual,gap,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
14,7.0392927167080244e-01,6.6082022213436786e-02,2.3278680426466725e-01,1.0689496769386730e-01,1.0034865595068193e-02,1.5678812217616631e-01,1.6746704120550800e-02,nan,3.2033886686517143e-01,0.0000000000000000e+00,-5.3191462164595071e+00,-5.0863594121948399e+00,1.5185469903836801e-01,0.0000000000000000e+00,7.0392927167080244e-01,6.6082022213436786e-02,2.3278680426466725e-01,1.0689496769386730e-01,1.0034865595068193e-02,1.5678812217616631e-01,1.6746704120550800e-02,nan,3.2033886686517143e-01,0.0000000000000000e+00,-5.3191462164595071e+00,-5.0863594121948399e+00,1.5185469903836801e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.4639651287659303e-01,2.1959476931488969e-01,5.9006198186413172e-02,8.8509297279619759e-02,0.0000000000000000e+00,0,0,5.0790230000000002e-03,
15,6.1523597536850572e-01,6.8710639457175607e-02,7.0710318610199607e-02,9.1991963158456064e-02,1.0273824786907970e-02,1.4117119933155048e-01,1.5731194532927675e-02,nan,2.9990581710125847e-01,0.0000000000000000e+00,-5.3858107554584267e+00,-5.3151004368482271e+00,1.4952305593533596e-01,0.0000000000000000e+00,6.1523597536850572e-01,6.8710639457175607e-02,7.0710318610199607e-02,9.1991963158456064e-02,1.0273824786907970e-02,1.4117119933155048e-01,1.5731194532927675e-02,nan,2.9990581710125847e-01,0.0000000000000000e+00,-5.3858107554584267e+00,-5.3151004368482271e+00,1.4952305593533596e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.4455711484010941e-01,2.1683567226016412e-01,5.1290704009005816e-02,7.6936056013508836e-02,0.0000000000000000e+00,0,0,5.2762240000000004e-03,
16,5.4840916625850222e-01,6.9940579002356132e-02,8.9167089466264393e-02,8.1344980915593668e-02,1.0374215848701684e-02,1.2105540463251613e-01,1.5691563405662284e-02,nan,2.7743408131924829e-01,0.0000000000000000e+00,-5.5811786313186245e+00,-5.4920115418523601e+00,1.4832899579444719e-01,0.0000000000000000e+00,5.4840916625850222e-01,6.9940579002356132e-02,8.9167089466264393e-02,8.1344980915593668e-02,1.0374215848701684e-02,1.2105540463251613e-01,1.5691563405662284e-02,nan,2.7743408131924829e-01,0.0000000000000000e+00,-5.5811786313186245e+00,-5.4920115418523601e+00,1.4832899579444719e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.3715746901112696e-01,2.0573620351669036e-01,5.1885371531422697e-02,7.7828057297133935e-02,0.0000000000000000e+00,0,0,5.5650949999999999e-03,
17,4.9838906597208849e-01,7.0472711992558057e-02,4.7306264990365499e-02,7.3640323096190008e-02,1.0412815278109167e-02,9.5259362157947197e-02,1.6358955044738440e-02,nan,2.6369269460402522e-01,0.0000000000000000e+00,-5.6823305940354087e+00,-5.6350243290450432e+00,1.4775669878021386e-01,0.0000000000000000e+00,4.9838906597208849e-01,7.0472711992558057e-02,4.7306264990365499e-02,7.3640323096190008e-02,1.0412815278109167e-02,9.5259362157947197e-02,1.6358955044738440e-02,nan,2.6369269460402522e-01,0.0000000000000000e+00,-5.6823305940354087e+00,-5.6350243290450432e+00,1.4775669878021386e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.4237188193304542e-01,2.1355782289956807e-01,5.4288430633809392e-02,8.1432645950714200e-02,0.0000000000000000e+00,0,0,5.7150450000000002e-03,
18,4.5891854513813979e-01,7.1571302771142972e-02,5.0661372306455732e-02,6.7716475572084156e-02,1.0560820492241108e-02,8.7316856434621698e-02,1.6528896178387976e-02,nan,2.5134275533447442e-01,0.0000000000000000e+00,-5.8044980974155536e+00,-5.7538367251090978e+00,1.4755663350170500e-01,0.0000000000000000e+00,4.5891854513813979e-01,7.1571302771142972e-02,5.0661372306455732e-02,6.7716475572084156e-02,1.0560820492241108e-02,8.7316856434621698e-02,1.6528896178387976e-02,nan,2.5134275533447442e-01,0.0000000000000000e+00,-5.8044980974155536e+00,-5.7538367251090978e+00,1.4755663350170500e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.4810115864633125e-01,2.2215173796949686e-01,5.8309365151767434e-02,8.7464047727651151e-02,0.0000000000000000e+00,0,0,5.8699329999999999e-03,
19,4.2597616901784513e-01,7.1523686853968857e-02,1.0411593589902068e-02,6.3020375184818844e-02,1.0581459499321863e-02,8.4844321143255380e-02,1.6007423764345725e-02,nan,2.4382165404673958e-01,0.0000000000000000e+00,-5.8484394037639147e+00,-5.8380278101740126e+00,1.4794342915971614e-01,0.0000000000000000e+00,4.2597616901784513e-01,7.1523686853968857e-02,1.0411593589902068e-02,6.3020375184818844e-02,1.0581459499321863e-02,8.4844321143255380e-02,1.6007423764345725e-02,nan,2.4382165404673958e-01,0.0000000000000000e+00,-5.8484394037639147e+00,-5.8380278101740126e+00,1.4794342915971614e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.5024063149696526e-01,2.2536094724544781e-01,5.8741113243655274e-02,8.8111669865482911e-02,0.0000000000000000e+00,0,0,6.1093219999999995e-03,
20,3.9474988774685815e-01,6.9825811002183949e-02,1.9238795857547508e-02,5.8589544519790426e-02,1.0363682395690535e-02,8.6058666404963652e-02,1.5176630172469239e-02,nan,2.3550604063199010e-01,0.0000000000000000e+00,-5.9223529214112292e+00,-5.9031141255536816e+00,1.4842194092620548e-01,0.0000000000000000e+00,3.9474988774685815e-01,6.9825811002183949e-02,1.9238795857547508e-02,5.8589544519790426e-02,1.0363682395690535e-02,8.6058666404963652e-02,1.5176630172469239e-02,nan,2.3550604063199010e-01,0.0000000000000000e+00,-5.9223529214112292e+00,-5.9031141255536816e+00,1.4842194092620548e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.4369332705702820e-01,2.1553999058554255e-01,5.6530798000172799e-02,8.4796197000259310e-02,0.0000000000000000e+00,0,0,6.3836570000000000e-03,
21,3.6314884339609360e-01,6.8401961707150280e-02,1.4071645093724605e-02,5.4248337028213689e-02,1.0218104062727607e-02,8.6355808766116662e-02,1.4585242151144328e-02,nan,2.3005728209515736e-01,0.0000000000000000e+00,-5.9252584007849904e+00,-5.9393300458787150e+00,1.4938320199754557e-01,0.0000000000000000e+00,3.6314884339609360e-01,6.8401961707150280e-02,1.4071645093724605e-02,5.4248337028213689e-02,1.0218104062727607e-02,8.6355808766116662e-02,1.4585242151144328e-02,nan,2.3005728209515736e-01,0.0000000000000000e+00,-5.9252584007849904e+00,-5.9393300458787150e+00,1.4938320199754557e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.3335172820498858e-01,2.0002759230748290e-01,5.2832481405406861e-02,7.9248722108110403e-02,0.0000000000000000e+00,0,0,6.5804909999999999e-03,
22,3.3262898449373096e-01,6.4335813355092600e-02,1.7473334178497169e-02,5.0080100883536510e-02,9.6862996715433164e-03,8.6788456874495379e-02,1.4070467075526722e-02,nan,2.2453906301172594e-01,0.0000000000000000e+00,-5.9349538856147186e+00,-5.9524272197932158e+00,1.5055843963736229e-01,0.0000000000000000e+00,3.3262898449373096e-01,6.4335813355092600e-02,1.7473334178497169e-02,5.0080100883536510e-02,9.6862996715433164e-03,8.6788456874495379e-02,1.4070467075526722e-02,nan,2.2453906301172594e-01,0.0000000000000000e+00,-5.9349538856147186e+00,-5.9524272197932158e+00,1.5055843963736229e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.2819170324166257e-01,1.9228755486249374e-01,5.0344834090063184e-02,7.5517251135094776e-02,0.0000000000000000e+00,0,0,6.6924180000000003e-03,
23,3.0523462760871251e-01,6.0103916957740415e-02,3.9492059738088336e-02,4.6425677899036982e-02,9.1417055496323257e-03,9.2557950508609516e-02,1.3276061091971304e-02,nan,2.2107316767071541e-01,0.0000000000000000e+00,-5.9018918542903469e+00,-5.9413839140284352e+00,1.5209833256058733e-01,0.0000000000000000e+00,3.0523462760871251e-01,6.0103916957740415e-02,3.9492059738088336e-02,4.6425677899036982e-02,9.1417055496323257e-03,9.2557950508609516e-02,1.3276061091971304e-02,nan,2.2107316767071541e-01,0.0000000000000000e+00,-5.9018918542903469e+00,-5.9413839140284352e+00,1.5209833256058733e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.2246846092012828e-01,1.8370269138019241e-01,4.8172805281071929e-02,7.2259207921607782e-02,0.0000000000000000e+00,0,0,6.9252469999999998e-03,
24,3.2515869008809206e-01,5.4292581116581889e-02,4.3927359059309445e-02,5.0014509804508132e-02,8.3510510816477840e-03,1.0270685727616888e-01,1.2033841688041697e-02,nan,2.1836208017390235e-01,0.0000000000000000e+00,-5.8687710837732707e+00,-5.9126984428325802e+00,1.5381569470266407e-01,0.0000000000000000e+00,3.2515869008809206e-01,5.4292581116581889e-02,4.3927359059309445e-02,5.0014509804508132e-02,8.3510510816477840e-03,1.0270685727616888e-01,1.2033841688041697e-02,nan,2.1836208017390235e-01,0.0000000000000000e+00,-5.8687710837732707e+00,-5.9126984428325802e+00,1.5381569470266407e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.1402293047877510e-01,1.7103439571816259e-01,4.4811418611787168e-02,6.7217127917680752e-02,0.0000000000000000e+00,0,0,7.0372189999999999e-03,
25,3.6932805107402161e-01,4.8200770990111989e-02,5.2239885235029426e-02,5.7497132977808847e-02,7.5039145583229161e-03,1.1168203067215111e-01,1.0695966078192924e-02,nan,2.1708831224414038e-01,0.0000000000000000e+00,-5.8186680630673910e+00,-5.8709079483024205e+00,1.5568038444576510e-01,0.0000000000000000e+00,3.6932805107402161e-01,4.8200770990111989e-02,5.2239885235029426e-02,5.7497132977808847e-02,7.5039145583229161e-03,1.1168203067215111e-01,1.0695966078192924e-02,nan,2.1708831224414038e-01,0.0000000000000000e+00,-5.8186680630673910e+00,-5.8709079483024205e+00,1.5568038444576510e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.0229689479896394e-01,1.5344534219844594e-01,4.0667768609271460e-02,6.1001652913907245e-02,0.0000000000000000e+00,0,0,7.2574630000000005e-03,
26,3.8324510072637680e-01,4.1510315181441437e-02,5.1621145027969995e-02,6.0390153927391416e-02,6.5410211862605289e-03,1.1773479225631828e-01,9.4589184236925482e-03,nan,2.1644801106781661e-01,0.0000000000000000e+00,-5.7700292206738100e+00,-5.8216503657017800e+00,1.5757580152474751e-01,0.0000000000000000e+00,3.8324510072637680e-01,4.1510315181441437e-02,5.1621145027969995e-02,6.0390153927391416e-02,6.5410211862605289e-03,1.1773479225631828e-01,9.4589184236925482e-03,nan,2.1644801106781661e-01,0.0000000000000000e+00,-5.7700292206738100e+00,-5.8216503657017800e+00,1.5757580152474751e-01,0.0000000000000000e+00,1.0000000000000001e-01,9.1167570744102436e-02,1.3675135611615361e-01,3.6019386654639329e-02,5.4029079981958938e-02,0.0000000000000000e+00,0,0,7.4389500000000006e-03,
27,4.0027961898054343e-01,3.4649384309470010e-02,5.1554645943012289e-02,6.3831932988131793e-02,5.5254803703348732e-03,1.2243255019268523e-01,8.2226704232212806e-03,nan,2.1636901649101689e-01,0.0000000000000000e+00,-5.7168388697446408e+00,-5.7683935156876531e+00,1.5946835652213034e-01,0.0000000000000000e+00,4.0027961898054343e-01,3.4649384309470010e-02,5.1554645943012289e-02,6.3831932988131793e-02,5.5254803703348732e-03,1.2243255019268523e-01,8.2226704232212806e-03,nan,2.1636901649101689e-01,0.0000000000000000e+00,-5.7168388697446408e+00,-5.7683935156876531e+00,1.5946835652213034e-01,0.0000000000000000e+00,1.0000000000000001e-01,8.1128886395904820e-02,1.2169332959385723e-01,3.1064597305160646e-02,4.6596895957740969e-02,0.0000000000000000e+00,0,0,7.6112919999999995e-03,
28,4.0575320382349500e-01,2.7581153243011951e-02,4.9032355712566478e-02,6.5458702059079471e-02,4.4495680516314640e-03,1.2717484628522796e-01,6.7913378445906402e-03,nan,2.1633308343736110e-01,0.0000000000000000e+00,-5.6642914889408198e+00,-5.7133238446533863e+00,1.6132639605121735e-01,0.0000000000000000e+00,4.0575320382349500e-01,2.7581153243011951e-02,4.9032355712566478e-02,6.5458702059079471e-02,4.4495680516314640e-03,1.2717484628522796e-01,6.7913378445906402e-03,nan,2.1633308343736110e-01,0.0000000000000000e+00,-5.6642914889408198e+00,-5.7133238446533863e+00,1.6132639605121735e-01,0.0000000000000000e+00,1.0000000000000001e-01,7.0318798905752850e-02,1.0547819835862914e-01,2.5881356510459308e-02,3.8822034765688906e-02,0.0000000000000000e+00,0,0,7.7248659999999995e-03,
29,4.1178642314368258e-01,2.0407405993515058e-02,4.7819897595659633e-02,6.7188250040894182e-02,3.3297307038700208e-03,1.3104476605371693e-01,5.2769768618847780e-03,nan,2.1619841315568231e-01,0.0000000000000000e+00,-5.6093205275626419e+00,-5.6571404251583015e+00,1.6316285886251894e-01,0.0000000000000000e+00,4.1178642314368258e-01,2.0407405993515058e-02,4.7819897595659633e-02,6.7188250040894182e-02,3.3297307038700208e-03,1.3104476605371693e-01,5.2769768618847780e-03,nan,2.1619841315568231e-01,0.0000000000000000e+00,-5.6093205275626419e+00,-5.6571404251583015e+00,1.6316285886251894e-01,0.0000000000000000e+00,1.0000000000000001e-01,5.7387042396933353e-02,8.6080563595399950e-02,2.0471768660182632e-02,3.0707652990274004e-02,0.0000000000000000e+00,0,0,7.9267010000000013e-03,
30,4.1403585795646891e-01,1.3151129495856180e-02,4.6916546181054564e-02,6.8315480754408020e-02,2.1699225241195164e-03,1.3266248810717693e-01,4.1009559845212049e-03,nan,2.1581751042877911e-01,0.0000000000000000e+00,-5.5531227452592047e+00,-5.6000392914402592e+00,1.6499894741385082e-01,0.0000000000000000e+00,4.1403585795646891e-01,1.3151129495856180e-02,4.6916546181054564e-02,6.8315480754408020e-02,2.1699225241195164e-03,1.3266248810717693e-01,4.1009559845212049e-03,nan,2.1581751042877911e-01,0.0000000000000000e+00,-5.5531227452592047e+00,-5.6000392914402592e+00,1.6499894741385082e-01,0.0000000000000000e+00,1.0000000000000001e-01,4.4617332368721924e-02,6.6925998553082927e-02,1.4833074614812869e-02,2.2249611922219303e-02,0.0000000000000000e+00,0,0,8.0437140000000004e-03,
31,4.1475356598556989e-01,1.2413218810178437e-02,4.6743115440913918e-02,6.9205012781538816e-02,2.0712467278661689e-03,1.3199771794582146e-01,3.6362405264697326e-03,nan,2.1524880813129615e-01,0.0000000000000000e+00,-5.4956299510396844e+00,-5.5423730664805984e+00,1.6685815013329289e-01,0.0000000000000000e+00,4.1475356598556989e-01,1.2413218810178437e-02,4.6743115440913918e-02,6.9205012781538816e-02,2.0712467278661689e-03,1.3199771794582146e-01,3.6362405264697326e-03,nan,2.1524880813129615e-01,0.0000000000000000e+00,-5.4956299510396844e+00,-5.5423730664805984e+00,1.6685815013329289e-01,0.0000000000000000e+00,1.0000000000000001e-01,3.6225018544982543e-02,5.4337527817473946e-02,9.9218389516253502e-03,1.4882758427438247e-02,0.0000000000000000e+00,0,0,8.3255130000000014e-03,
