iter,res_pri,res_dual,gap,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
0,3.9997527406490441e+01,1.9998727324313217e+00,2.7408915545209283e+02,3.9997527406490441e+01,1.9998727324313217e+00,7.1635934075638133e+01,3.2266875640409771e+00,nan,1.4569126383522571e-01,0.0000000000000000e+00,-2.7453621002098623e+02,-4.4705456889341233e-01,1.0000000000000000e+00,0.0000000000000000e+00,3.9997527406490441e+01,1.9998727324313217e+00,2.7408915545209283e+02,3.9997527406490441e+01,1.9998727324313217e+00,7.1635934075638133e+01,3.2266875640409771e+00,nan,1.4569126383522571e-01,0.0000000000000000e+00,-2.7453621002098623e+02,-4.4705456889341233e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,9.2213730348547585e+01,1.3832059552282141e+02,6.3633784339006525e+01,9.5450676508509787e+01,0.0000000000000000e+00,0,0,1.7793209999999999e-03,
1,2.4449238392455431e+01,1.1469919384464631e+00,1.3380999050395440e+02,2.4263319064322770e+00,1.1382698683702291e-01,3.7701735800797196e+00,2.4397148059386767e-01,nan,nan,nan,1.3350642568139435e+02,-3.0356482256005385e-01,9.9239570062885751e-02,0.0000000000000000e+00,2.4449238392455431e+01,1.1469919384464631e+00,1.3380999050395440e+02,2.4263319064322770e+00,1.1382698683702291e-01,3.7701735800797196e+00,2.4397148059386767e-01,nan,nan,nan,1.3350642568139435e+02,-3.0356482256005385e-01,9.9239570062885751e-02,0.0000000000000000e+00,1.0000000000000001e-01,8.6599046192887865e+00,1.2989856928933177e+01,6.0167128956275171e+00,9.0250693434412756e+00,0.0000000000000000e+00,0,0,2.0483419999999999e-03,
2,2.2365291214079228e+01,1.4747244363986174e+00,9.3884793485024176e+01,3.2254609982968798e+00,2.1268071617349241e-01,4.0347296249905611e+00,3.9031162137368530e-01,nan,2.3685337429897252e-01,0.0000000000000000e+00,-9.4426736711161354e+01,-5.4194322613717782e-01,1.4421725911918429e-01,0.0000000000000000e+00,2.2365291214079228e+01,1.4747244363986174e+00,9.3884793485024176e+01,3.2254609982968798e+00,2.1268071617349241e-01,4.0347296249905611e+00,3.9031162137368530e-01,nan,2.3685337429897252e-01,0.0000000000000000e+00,-9.4426736711161354e+01,-5.4194322613717782e-01,1.4421725911918429e-01,0.0000000000000000e+00,1.0000000000000001e-01,8.3789252684274391e+00,1.2568387902641156e+01,5.9670219444602957e+00,8.9505329166904435e+00,0.0000000000000000e+00,0,0,2.1886199999999996e-03,
3,1.7407063315634069e+01,8.4163623072722338e-01,4.6628765379250645e+01,4.4612891108428006e+00,2.1570453805736436e-01,5.3350288847534877e+00,4.2233760222082689e-01,nan,nan,nan,4.5798852194429003e+01,-8.2991318482164356e-01,2.5629188737631092e-01,0.0000000000000000e+00,1.7407063315634069e+01,8.4163623072722338e-01,4.6628765379250645e+01,4.4612891108428006e+00,2.1570453805736436e-01,5.3350288847534877e+00,4.2233760222082689e-01,nan,nan,nan,4.5798852194429003e+01,-8.2991318482164356e-01,2.5629188737631092e-01,0.0000000000000000e+00,1.0000000000000001e-01,6.8061500960611632e+00,1.0209225144091741e+01,5.0415175445005858e+00,7.5622763167508786e+00,0.0000000000000000e+00,0,0,2.2904040000000002e-03,
4,1.1305281273058183e+01,4.4028729944114042e-01,2.5850966452500579e+01,3.7882251770214510e+00,1.4753347507067610e-01,4.7252599782788192e+00,2.5822357006755026e-01,nan,4.1918320958015026e-01,0.0000000000000000e+00,-2.6969785560784842e+01,-1.1188191082842618e+00,3.3508455787378222e-01,0.0000000000000000e+00,1.1305281273058183e+01,4.4028729944114042e-01,2.5850966452500579e+01,3.7882251770214510e+00,1.4753347507067610e-01,4.7252599782788192e+00,2.5822357006755026e-01,nan,4.1918320958015026e-01,0.0000000000000000e+00,-2.6969785560784842e+01,-1.1188191082842618e+00,3.3508455787378222e-01,0.0000000000000000e+00,1.0000000000000001e-01,4.6920419773968325e+00,7.0380629660952474e+00,3.3519611362760582e+00,5.0279417044140873e+00,0.0000000000000000e+00,0,0,2.3976609999999997e-03,
5,7.7768578539761295e+00,1.6248651674116776e-01,1.3020291664865139e+01,2.4126541284168370e+00,5.0409017727798267e-02,2.9836593691736142e+00,9.0740966458709021e-02,nan,nan,nan,1.1618851783513978e+01,-1.4014398813511606e+00,3.1023508127814142e-01,0.0000000000000000e+00,7.7768578539761295e+00,1.6248651674116776e-01,1.3020291664865139e+01,2.4126541284168370e+00,5.0409017727798267e-02,2.9836593691736142e+00,9.0740966458709021e-02,nan,nan,nan,1.1618851783513978e+01,-1.4014398813511606e+00,3.1023508127814142e-01,0.0000000000000000e+00,1.0000000000000001e-01,2.1729729199654373e+00,3.2594593799481562e+00,1.4881824495975258e+00,2.2322736743962888e+00,0.0000000000000000e+00,0,0,2.6129080000000002e-03,
6,3.4977481146691831e+00,1.2550509741470964e-01,7.9182800481213933e+00,9.5285788390007253e-01,3.4190146808945776e-02,1.4434175925327271e+00,5.1323137546864302e-02,nan,3.5943513945058869e-01,0.0000000000000000e+00,-9.7312358497158478e+00,-1.8129558015944542e+00,2.7242038381891709e-01,0.0000000000000000e+00,3.4977481146691831e+00,1.2550509741470964e-01,7.9182800481213933e+00,9.5285788390007253e-01,3.4190146808945776e-02,1.4434175925327271e+00,5.1323137546864302e-02,nan,3.5943513945058869e-01,0.0000000000000000e+00,-9.7312358497158478e+00,-1.8129558015944542e+00,2.7242038381891709e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.2042240988799515e+00,1.8063361483199272e+00,7.5874576866778942e-01,1.1381186530016842e+00,0.0000000000000000e+00,0,0,2.7240830000000000e-03,
7,2.7695709852631705e+00,9.9979277238262429e-02,3.8120428169664109e+00,6.7713335691482879e-01,2.4443967668093564e-02,9.6510104427754251e-01,3.8341826481529014e-02,nan,nan,nan,1.6564187285212455e+00,-2.1556240884451654e+00,2.4449034183194485e-01,0.0000000000000000e+00,2.7695709852631705e+00,9.9979277238262429e-02,3.8120428169664109e+00,6.7713335691482879e-01,2.4443967668093564e-02,9.6510104427754251e-01,3.8341826481529014e-02,nan,nan,nan,1.6564187285212455e+00,-2.1556240884451654e+00,2.4449034183194485e-01,0.0000000000000000e+00,1.0000000000000001e-01,5.8980595155701221e-01,8.8470892733551820e-01,3.4132292318686580e-01,5.1198438478029873e-01,0.0000000000000000e+00,0,0,2.9877760000000001e-03,
8,1.2113145144626734e+00,1.1763395611204260e-01,2.8095580524066843e+00,2.6360701668601672e-01,2.5599574562536059e-02,5.0876494348264267e-01,3.5980296610053225e-02,nan,4.0660264887443998e-01,0.0000000000000000e+00,-5.4385147774714406e+00,-2.6289567250647563e+00,2.1762062085332981e-01,0.0000000000000000e+00,1.2113145144626734e+00,1.1763395611204260e-01,2.8095580524066843e+00,2.6360701668601672e-01,2.5599574562536059e-02,5.0876494348264267e-01,3.5980296610053225e-02,nan,4.0660264887443998e-01,0.0000000000000000e+00,-5.4385147774714406e+00,-2.6289567250647563e+00,2.1762062085332981e-01,0.0000000000000000e+00,1.0000000000000001e-01,4.2296351151980127e-01,6.3444526727970219e-01,2.2236416546310511e-01,3.3354624819465772e-01,0.0000000000000000e+00,0,0,3.4140709999999999e-03,
9,1.1867272850151829e+00,8.0359335110207653e-02,9.8650262895747920e-01,2.3702360681834878e-01,1.6050072910476734e-02,4.9219470621290284e-01,2.6798347895015211e-02,nan,1.0506115868636909e+00,0.0000000000000000e+00,-2.0674144576700297e+00,-3.0539170866275089e+00,1.9972879178834782e-01,0.0000000000000000e+00,1.1867272850151829e+00,8.0359335110207653e-02,9.8650262895747920e-01,2.3702360681834878e-01,1.6050072910476734e-02,4.9219470621290284e-01,2.6798347895015211e-02,nan,1.0506115868636909e+00,0.0000000000000000e+00,-2.0674144576700297e+00,-3.0539170866275089e+00,1.9972879178834782e-01,0.0000000000000000e+00,1.0000000000000001e-01,2.8125918109384485e-01,4.2188877164076688e-01,1.1580409668323632e-01,1.7370614502485449e-01,0.0000000000000000e+00,0,0,3.5711440000000001e-03,
10,1.1397351554831117e+00,7.1894530148920430e-02,1.1801410622208315e+00,2.0943955252254104e-01,1.3211453687962817e-02,3.5130261613330988e-01,2.1308310773144584e-02,nan,4.5336872235403580e-01,0.0000000000000000e+00,-4.7196355857389554e+00,-3.5394945235181239e+00,1.8376159717014579e-01,0.0000000000000000e+00,1.1397351554831117e+00,7.1894530148920430e-02,1.1801410622208315e+00,2.0943955252254104e-01,1.3211453687962817e-02,3.5130261613330988e-01,2.1308310773144584e-02,nan,4.5336872235403580e-01,0.0000000000000000e+00,-4.7196355857389554e+00,-3.5394945235181239e+00,1.8376159717014579e-01,0.0000000000000000e+00,1.0000000000000001e-01,2.3884125417088037e-01,3.5826188125632075e-01,9.8261881583773469e-02,1.4739282237566043e-01,0.0000000000000000e+00,0,0,3.8279640000000001e-03,
11,1.0437882117899775e+00,4.4913038682958081e-02,7.6409332593292412e-02,1.7931089322417862e-01,7.7155470742888005e-03,3.3506060872934557e-01,1.5691596221247345e-02,nan,5.2225934735880275e-01,0.0000000000000000e+00,-3.9133587979342641e+00,-3.9897681305275565e+00,1.7178857856296434e-01,0.0000000000000000e+00,1.0437882117899775e+00,4.4913038682958081e-02,7.6409332593292412e-02,1.7931089322417862e-01,7.7155470742888005e-03,3.3506060872934557e-01,1.5691596221247345e-02,nan,5.2225934735880275e-01,0.0000000000000000e+00,-3.9133587979342641e+00,-3.9897681305275565e+00,1.7178857856296434e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.7132017227680021e-01,2.5698025841520039e-01,7.1859064528026373e-02,1.0778859679203956e-01,0.0000000000000000e+00,0,0,4.2055490000000003e-03,
12,9.3493456466086899e-01,4.6311736720781357e-02,5.4970102906757035e-01,1.5194938983644268e-01,7.5267728918988752e-03,2.5727909886280670e-01,1.4575110581292267e-02,nan,3.8940142567556973e-01,0.0000000000000000e+00,-4.9689971250207030e+00,-4.4192960959531327e+00,1.6252409054056061e-01,0.0000000000000000e+00,9.3493456466086899e-01,4.6311736720781357e-02,5.4970102906757035e-01,1.5194938983644268e-01,7.5267728918988752e-03,2.5727909886280670e-01,1.4575110581292267e-02,nan,3.8940142567556973e-01,0.0000000000000000e+00,-4.9689971250207030e+00,-4.4192960959531327e+00,1.6252409054056061e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.3206081830507091e-01,1.9809122745760632e-01,4.5633149392744432e-02,6.8449724089116648e-02,0.0000000000000000e+00,0,0,4.6628949999999994e-03,
13,8.1325281841226083e-01,5.8457055100244189e-02,1.1444495952379174e-01,1.2685184807353081e-01,9.1181798630338429e-03,2.0652507262272862e-01,1.6137820404937553e-02,nan,3.6992613904886334e-01,0.0000000000000000e+00,-4.9016617832803355e+00,-4.7872168237565438e+00,1.5598082810359967e-01,0.0000000000000000e+00,8.1325281841226083e-01,5.8457055100244189e-02,1.1444495952379174e-01,1.2685184807353081e-01,9.1181798630338429e-03,2.0652507262272862e-01,1.6137820404937553e-02,nan,3.6992613904886334e-01,0.0000000000000000e+00,-4.9016617832803355e+00,-4.7872168237565438e+00,1.5598082810359967e-01,0.0000000000000000e+00,1.0000000000000001e-01,1.3268496719482642e-01,1.9902745079223969e-01,5.0238714304311483e-02,7.5358071456467446e-02,0.0000000000000000e+00,0,0,4.8250189999999998e-03,
