OS,Software,Installation_Guide,Description,Tutorial
Mac,VSCode,https://code.visualstudio.com/docs/setup/mac ,"The open-source text editor Visual Studio Code (VS Code) is both a powerful text editor and a full-blown Python IDE, which we will use for more complex analysis.The real magic of VS Code is in the extensions that let you add languages, debuggers, and tools to your installation to support your specific workflow. ",https://www.youtube.com/watch?v=06I63_p-2A4 
Mac,PostgreSQL,https://www.postgresqltutorial.com/install-postgresql-macos/ ,"PostgreSQL is a powerful, open source object-relational database system that uses and extends the SQL language combined with many features that safely store and scale the most complicated data workloads. PostgreSQL comes with many features aimed to help developers build applications, administrators to protect data integrity and build fault-tolerant environments, and help you manage your data no matter how big or small the dataset. In addition to being free and open source, PostgreSQL is highly extensible. For example, you can define your own data types, build out custom functions, even write code from different programming languages without recompiling your database!
",https://www.youtube.com/watch?v=eMIxuk0nOkU
Mac,Anaconda,https://docs.anaconda.com/anaconda/install/mac-os/ ,"Anaconda is a desktop graphical user interface (GUI) having an amazing collection of scientific Python packages, tools, resources, and IDEs. This package includes many important tools that a Data Scientist can use to harness the incredible force of Python. Anaconda individual edition is free and open source. It comes with conda, a package, and environment manager. We usually used conda to create environments for isolating our projects that use different versions of Python and/or different version of packages.",https://www.youtube.com/watch?v=beh7GE4FdnM 
Windows,VSCode,https://code.visualstudio.com/docs/setup/windows ,"The open-source text editor Visual Studio Code (VS Code) is both a powerful text editor and a full-blown Python IDE, which we will use for more complex analysis.The real magic of VS Code is in the extensions that let you add languages, debuggers, and tools to your installation to support your specific workflow. ",https://www.youtube.com/watch?v=06I63_p-2A4 
Windows,PostgreSQL,https://www.makeuseof.com/windows-postgresql-install/,"PostgreSQL is a powerful, open source object-relational database system that uses and extends the SQL language combined with many features that safely store and scale the most complicated data workloads. PostgreSQL comes with many features aimed to help developers build applications, administrators to protect data integrity and build fault-tolerant environments, and help you manage your data no matter how big or small the dataset. In addition to being free and open source, PostgreSQL is highly extensible. For example, you can define your own data types, build out custom functions, even write code from different programming languages without recompiling your database!
",https://www.youtube.com/watch?v=eMIxuk0nOkU
Windows,Anaconda,https://docs.anaconda.com/anaconda/install/windows/,"Anaconda is a distribution of the Python and R programming languages for scientific computing, that aims to simplify package management and deployment. ",https://www.youtube.com/watch?v=beh7GE4FdnM  
